ID	Warehouse_block	Mode_of_Shipment	Customer_care_calls	Customer_rating	Cost_of_the_Product	Prior_purchases	Product_importance	Discount_offered	Weight_in_gms
1	D	Flight	4	2	177	3	low	44	1233
2	F	Flight	4	5	216	2	low	59	3088
3	A	Flight	2	2	183	4	low	48	3374
4	B	Flight	3	3	176	4	medium	10	1177
5	C	Flight	2	2	184	3	medium	46	2484
6	F	Flight	3	1	162	3	medium	12	1417
7	D	Flight	3	4	250	3	low	3	2371
8	F	Flight	4	1	233	2	low	48	2804
9	A	Flight	3	4	150	3	low	11	1861
10	B	Flight	3	2	164	3	medium	29	1187
11	C	Flight	3	4	189	2	medium	12	2888
12	F	Flight	4	5	232	3	medium	32	3253
13	D	Flight	3	5	198	3	medium	1	3667
14	F	Flight	4	4	275	3	high	29	2602
15	A	Flight	4	3	152	3	low	43	1009
16	B	Flight	4	3	227	3	low	45	2707
17	C	Flight	3	4	143	2	medium	6	1194
18	F	Ship	5	5	227	3	medium	36	3952
19	D	Ship	5	5	239	3	high	18	2495
20	F	Ship	4	5	145	3	medium	45	1059
21	A	Ship	3	3	161	2	medium	38	1521
22	B	Ship	3	1	232	4	medium	51	2899
23	C	Ship	2	5	156	2	low	2	1750
24	F	Ship	4	3	211	3	high	12	3922
25	D	Ship	4	5	251	2	medium	28	3561
26	F	Ship	3	1	225	4	low	29	3496
27	A	Ship	4	1	172	3	high	24	1066
28	B	Ship	5	1	162	3	medium	31	1435
29	C	Ship	2	3	234	4	low	44	3134
30	F	Ship	5	4	183	2	low	36	3819
31	D	Ship	3	4	266	2	medium	38	2741
32	F	Ship	5	3	257	2	low	61	3341
33	A	Ship	3	1	223	3	low	22	3795
34	B	Ship	4	2	234	3	medium	4	3261
35	C	Ship	4	2	227	4	medium	22	2460
36	F	Ship	5	4	149	3	medium	44	1811
37	D	Ship	3	5	137	4	high	62	1477
38	F	Ship	2	4	181	6	medium	16	3605
39	A	Ship	5	1	215	4	low	56	3905
40	B	Ship	4	2	269	5	low	45	2383
41	C	Ship	5	1	227	2	low	15	3798
42	F	Ship	5	5	139	4	medium	61	1265
43	D	Ship	3	5	137	2	medium	38	1647
44	F	Ship	3	1	174	2	low	44	1556
45	A	Ship	3	1	151	2	low	29	1328
46	B	Ship	5	1	210	3	low	9	2944
47	C	Ship	3	4	169	4	medium	32	1245
48	F	Ship	5	1	160	2	low	32	1576
49	D	Ship	5	4	190	2	medium	9	3753
50	F	Ship	5	3	216	3	low	40	2146
51	A	Ship	4	1	183	3	low	37	2042
52	B	Ship	4	4	141	3	low	22	1735
53	C	Ship	4	3	165	3	low	44	1320
54	F	Ship	2	1	170	3	low	41	1128
55	D	Ship	4	3	203	3	high	12	3539
56	F	Ship	2	5	246	5	low	46	2437
57	A	Ship	3	3	238	3	low	61	3096
58	B	Ship	3	3	193	3	medium	29	3453
59	C	Ship	5	5	141	3	high	41	1367
60	F	Ship	4	1	150	3	high	17	1923
61	D	Ship	3	1	221	3	low	64	2794
62	F	Ship	3	3	179	3	medium	52	1158
63	A	Ship	5	1	105	6	medium	62	1292
64	B	Ship	3	1	177	3	medium	61	1880
65	C	Ship	4	5	261	2	high	49	3045
66	F	Ship	3	2	202	3	low	49	2881
67	D	Ship	3	2	109	3	medium	15	1710
68	F	Ship	3	3	158	3	low	6	1878
